"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice scalia","majority",FALSE,"Boyle v. United Technologies Corp.",1988-06-27,"487 U.S. 500",1988,"1987-145",FALSE
"justice brennan","dissenting",FALSE,"Boyle v. United Technologies Corp.",1988-06-27,"487 U.S. 500",1988,"1987-145",FALSE
"justice stevens","second_dissenting",FALSE,"Boyle v. United Technologies Corp.",1988-06-27,"487 U.S. 500",1988,"1987-145",FALSE
"justice burger","majority",FALSE,"Helstoski v. Meanor",1979-06-18,"442 U.S. 500",1979,"1978-124",FALSE
"justice brennan","dissenting",FALSE,"Helstoski v. Meanor",1979-06-18,"442 U.S. 500",1979,"1978-124",FALSE
"justice kennedy","majority",FALSE,"Berghuis v. Thompkins",2010-06-01,"560 U.S. 370",2010,"2009-061",FALSE
"justice sotomayor","dissenting",FALSE,"Berghuis v. Thompkins",2010-06-01,"560 U.S. 370",2010,"2009-061",FALSE
"justice brennan","majority",FALSE,"Gooding v. Wilson",1972-03-23,"405 U.S. 518",1972,"1971-082",FALSE
"justice burger","dissenting",FALSE,"Gooding v. Wilson",1972-03-23,"405 U.S. 518",1972,"1971-082",FALSE
"justice blackmun","second_dissenting",FALSE,"Gooding v. Wilson",1972-03-23,"405 U.S. 518",1972,"1971-082",FALSE
"justice white","majority",FALSE,"Johnson v. Louisiana",1972-05-22,"406 U.S. 356",1972,"1971-110",FALSE
"justice blackmun","concurring",FALSE,"Johnson v. Louisiana",1972-05-22,"406 U.S. 356",1972,"1971-110",FALSE
"justice douglas","dissenting",FALSE,"Johnson v. Louisiana",1972-05-22,"406 U.S. 356",1972,"1971-110",FALSE
"justice brennan","second_dissenting",FALSE,"Johnson v. Louisiana",1972-05-22,"406 U.S. 356",1972,"1971-110",FALSE
